timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1640645117766,4589,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,10107,193,15,15,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,4588,0,13
1640645116252,6102,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,10107,193,15,15,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,6101,0,249
1640645116763,6220,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,10107,193,16,16,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,6220,0,15
1640645116982,6008,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,10114,193,16,16,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,6008,0,14
1640645119768,5237,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,10107,193,17,17,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,5234,0,15
1640645110980,14034,GetAlertChartData,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,181636,236,17,17,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetAlertChartData?alertId=888&FromDaysAgo=7&ToDaysAgo=0&sampleInterval=5,14023,0,0
1640645118477,6991,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,10107,193,17,17,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,6991,0,17
1640645122776,4317,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,10107,193,19,19,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,4317,0,14
1640645118799,8299,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,10107,193,19,19,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,8299,0,13
1640645120770,7998,GetActiveAlert_New,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,10107,193,19,19,https://zneudl1p43dsawa-api.bpweb.bp.com/AlertData/GetActiveAlerts?assetCode=THU,7998,0,16
